source_image,cow_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,saved_path
LabeledImages/KQ25003806_2.jpg,KQ25003806,1470,380,3835,2618,train/KQ25003806/KQ25003806_2_label.jpg
LabeledImages/KQ25003827_2.jpg,KQ25003827,213,220,2485,2525,train/KQ25003827/KQ25003827_2_label.jpg
LabeledImages/KQ25003840_1.jpg,KQ25003840,2921,404,4640,2041,train/KQ25003840/KQ25003840_1_label.jpg
LabeledImages/KQ25003840_2.jpg,KQ25003840,1186,188,3889,2849,train/KQ25003840/KQ25003840_2_label.jpg
LabeledImages/KQ25003855_3.jpg,KQ25003855,0,0,3155,3129,train/KQ25003855/KQ25003855_3_label.jpg
LabeledImages/KQ25004301_2.jpg,KQ25004301,72,272,714,954,train/KQ25004301/KQ25004301_2_label.jpg
LabeledImages/KQ25004303_3.jpg,KQ25004303,91,283,693,1041,train/KQ25004303/KQ25004303_3_label.jpg
LabeledImages/KQ25004303_4.jpg,KQ25004303,129,170,633,962,train/KQ25004303/KQ25004303_4_label.jpg
LabeledImages/KQ25004304_1.jpg,KQ25004304,220,162,681,709,train/KQ25004304/KQ25004304_1_label.jpg
LabeledImages/KQ25004306_1.jpg,KQ25004306,74,86,720,840,train/KQ25004306/KQ25004306_1_label.jpg
LabeledImages/KQ25004306_5.jpg,KQ25004306,0,281,720,1261,train/KQ25004306/KQ25004306_5_label.jpg
LabeledImages/KQ25004308_2.jpg,KQ25004308,100,252,631,838,train/KQ25004308/KQ25004308_2_label.jpg
LabeledImages/KQ25004308_3.jpg,KQ25004308,185,277,558,738,train/KQ25004308/KQ25004308_3_label.jpg
LabeledImages/KQ25004311_1.jpg,KQ25004311,81,278,667,843,train/KQ25004311/KQ25004311_1_label.jpg
LabeledImages/KQ25004311_5.jpg,KQ25004311,0,124,701,821,train/KQ25004311/KQ25004311_5_label.jpg
LabeledImages/KQ25004312_1.jpg,KQ25004312,155,218,632,988,train/KQ25004312/KQ25004312_1_label.jpg
LabeledImages/KQ25004312_5.jpg,KQ25004312,0,34,641,1000,train/KQ25004312/KQ25004312_5_label.jpg
LabeledImages/KQ25004313_1.jpg,KQ25004313,181,170,566,714,train/KQ25004313/KQ25004313_1_label.jpg
LabeledImages/KQ25004314_2.jpg,KQ25004314,0,100,622,1084,train/KQ25004314/KQ25004314_2_label.jpg
LabeledImages/KQ25004317_5.jpg,KQ25004317,175,298,517,726,train/KQ25004317/KQ25004317_5_label.jpg
LabeledImages/KQ25004318_1.jpg,KQ25004318,1,389,852,1182,train/KQ25004318/KQ25004318_1_label.jpg
LabeledImages/KQ25004318_3.jpg,KQ25004318,189,336,1037,1138,train/KQ25004318/KQ25004318_3_label.jpg
LabeledImages/KQ25004318_5.jpg,KQ25004318,689,0,1676,978,train/KQ25004318/KQ25004318_5_label.jpg
LabeledImages/KQ25004320_1.jpg,KQ25004320,44,173,1279,1512,train/KQ25004320/KQ25004320_1_label.jpg
LabeledImages/KQ25004321_1.jpg,KQ25004321,202,149,501,613,train/KQ25004321/KQ25004321_1_label.jpg
LabeledImages/KQ25004324_1.jpg,KQ25004324,0,272,720,1380,train/KQ25004324/KQ25004324_1_label.jpg
LabeledImages/KQ25004325_3.jpg,KQ25004325,258,266,537,605,train/KQ25004325/KQ25004325_3_label.jpg
LabeledImages/KQ25004328_2.jpg,KQ25004328,24,219,720,965,train/KQ25004328/KQ25004328_2_label.jpg
LabeledImages/KQ25004328_4.jpg,KQ25004328,0,245,695,917,train/KQ25004328/KQ25004328_4_label.jpg
LabeledImages/KQ25004330_4.jpg,KQ25004330,0,0,720,1142,train/KQ25004330/KQ25004330_4_label.jpg
LabeledImages/KQ25004333_1.jpg,KQ25004333,0,238,720,1070,train/KQ25004333/KQ25004333_1_label.jpg
LabeledImages/KQ25004335_4.jpg,KQ25004335,0,225,720,1268,train/KQ25004335/KQ25004335_4_label.jpg
